Skill
Python
Java
C
C++
SQL
Excel
Power BI
Pandas
NumPy
Machine Learning
Deep Learning
NLP
TensorFlow
PyTorch
Scikit-learn
Docker
FastAPI
OpenCV
CNN
YOLO
Transformers
Hugging Face
Git
GitHub
LLM
RAG
APIs
Flask
Streamlit
SQLite
